x l
0 100000
1 99368
2 99313
3 99283
4 99261
5 99243
6 99228
7 99213
8 99199
9 99185
10 99172
11 99159
12 99145
13 99131
14 99116
15 99098
16 99077
17 99051
18 99020
19 98989
20 98957
21 98926
22 98894
23 98862
24 98829
25 98797
26 98763
27 98729
28 98694
29 98656
30 98617
31 98574
32 98528
33 98477
34 98420
35 98359
36 98291
37 98217
38 98136
39 98048
40 97952
41 97847
42 97733
43 97607
44 97469
45 97315
46 97142
47 96950
48 96738
49 96504
50 96247
51 95964
52 95652
53 95310
54 94938
55 94532
56 94082
57 93585
58 93029
59 92415
60 91732
61 90971
62 90132
63 89217
64 88210
65 87093
66 85875
67 84567
68 83150
69 81617
70 79970
71 78219
72 76343
73 74287
74 72048
75 69682
76 67195
77 64561
78 61749
79 58765
80 55607
81 52293
82 48858
83 45332
84 41736
85 38081
86 34375
87 30651
88 27017
89 23542
90 20212
91 17069
92 14166
93 11535
94 9214
95 7206
96 5504
97 4109
98 3007
99 2154
100 1501
101 1013
102 663
103 423
104 262
105 157
106 89
107 48
108 25
109 12
110 6
111 3
112 1
