x l
0 100000
1 99186
2 99124
3 99086
4 99056
5 99032
6 99010
7 98990
8 98972
9 98953
10 98935
11 98917
12 98899
13 98880
14 98857
15 98828
16 98789
17 98737
18 98663
19 98577
20 98496
21 98413
22 98328
23 98241
24 98154
25 98067
26 97983
27 97900
28 97817
29 97732
30 97645
31 97556
32 97456
33 97370
34 97273
35 97170
36 97057
37 96933
38 96800
39 96655
40 96500
41 96334
42 96155
43 95961
44 95751
45 95521
46 95266
47 94983
48 94668
49 94316
50 93925
51 93489
52 93004
53 92467
54 91873
55 91217
56 90490
57 89684
58 88792
59 87805
60 86714
61 85507
62 84173
63 82701
64 81076
65 79293
66 77353
67 75256
68 73001
69 70598
70 68055
71 65381
72 62562
73 59593
74 56484
75 53266
76 49965
77 46479
78 43124
79 39630
80 36128
81 32654
82 29254
83 25954
84 22779
85 19756
86 16917
87 14280
88 11874
89 9730
90 7857
91 6249
92 4880
93 3726
94 2773
95 2011
96 1421
97 979
98 657
99 428
100 271
101 166
102 98
103 56
104 31
105 16
106 8
107 4
108 2
109 1
